shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10009,43.418966,-80.537990,420007
10009,43.419359,-80.538817,420008
10009,43.419120,-80.539029,420009
10009,43.419120,-80.539029,430001
10009,43.418525,-80.539554,430002
10009,43.418048,-80.539991,430003
10009,43.417692,-80.540290,430004
10009,43.417394,-80.540564,430005
10009,43.417021,-80.540899,430006
10009,43.416851,-80.541029,430007
10009,43.416851,-80.541029,440001
10009,43.416790,-80.541075,440002
10009,43.416598,-80.541172,440003
10009,43.416298,-80.541221,440004
10009,43.416292,-80.541669,440005
10009,43.416375,-80.542725,440006
10009,43.416400,-80.543026,440007
10009,43.416400,-80.543026,450001
10009,43.416501,-80.544273,450002
10009,43.416548,-80.544889,450003
10009,43.416502,-80.545239,450004
10009,43.416282,-80.545788,450005
10009,43.415900,-80.546729,450006
10009,43.415649,-80.547469,450007
10009,43.415649,-80.547469,460001
10009,43.415630,-80.547524,460002
10009,43.415591,-80.547680,460003
10009,43.415433,-80.548519,460004
10009,43.415400,-80.548954,460005
10009,43.415427,-80.549311,460006
10009,43.415461,-80.549514,460007
10009,43.415492,-80.549872,460008
10009,43.415467,-80.550162,460009
10009,43.415423,-80.550442,460010
10009,43.415378,-80.550598,460011
10009,43.415378,-80.550598,470001
10009,43.415341,-80.550731,470002
10009,43.414905,-80.552112,470003
10009,43.414788,-80.552452,470004
10009,43.414761,-80.552606,470005
10009,43.414794,-80.552616,470006
10009,43.414843,-80.552653,470007
10009,43.414875,-80.552694,470008
10009,43.414907,-80.552776,470009
10009,43.414914,-80.552851,470010
10009,43.415370,-80.552858,470011
10009,43.415913,-80.552846,470012
10009,43.417954,-80.552794,470013
10009,43.418390,-80.552787,470014
10009,43.418390,-80.552787,480001
10009,43.421462,-80.552739,480002
10009,43.421905,-80.552738,480003
10009,43.422828,-80.552715,480004
10009,43.422836,-80.552641,480005
10009,43.422850,-80.552583,480006
10009,43.422886,-80.552521,480007
